LASTUPDATEDATE,BUILDINGNAMEID,BUILDINGID
2023/09/03 00:00:00,"1101368233","1100659949"
2023/09/03 00:00:00,"1101367542","1100007174"
2023/09/03 00:00:00,"1101366629","1100013567"
2023/09/03 00:00:00,"1101368177","1100008462"
2023/09/03 00:00:00,"1101367514","1100007117"
2023/09/03 00:00:00,"1101366784","1100004815"
2023/09/03 00:00:00,"1101368220","1100005335"
2023/09/03 00:00:00,"1101367600","1100004533"
2023/09/03 00:00:00,"1101368278","1100660058"
2023/09/03 00:00:00,"1101368344","1100001339"
2023/09/03 00:00:00,"1101367625","1100007174"
2023/09/03 00:00:00,"1101368307","1100659781"
2023/09/03 00:00:00,"1101368222","1100010959"
2023/09/03 00:00:00,"1101367685","1100013931"
2023/09/03 00:00:00,"1101366524","1100009735"
2023/09/03 00:00:00,"1101368191","1100004926"
2023/09/03 00:00:00,"1101368440","1100011364"
2023/09/03 00:00:00,"1101368080","1100007703"
2023/09/03 00:00:00,"1101368305","1100004441"
2023/09/03 00:00:00,"1101368433","1100004824"
2023/09/03 00:00:00,"1101367695","1100659749"
2023/09/03 00:00:00,"1101368163","1100008318"
2023/09/03 00:00:00,"1101368094","1100011459"
2023/09/03 00:00:00,"1101366745","1100013724"
2023/09/03 00:00:00,"1101365882","1100008135"
2023/09/03 00:00:00,"1101368242","1100012013"
2023/09/03 00:00:00,"1101368066","1100011351"
2023/09/03 00:00:00,"1101368522","1100011768"
2023/09/03 00:00:00,"1101366077","1100005434"
2023/09/03 00:00:00,"1101366103","1100007774"
2023/09/03 00:00:00,"1101368237","1100009016"
2023/09/03 00:00:00,"1101366102","1100013502"
2023/09/03 00:00:00,"1101368153","1100007562"
2023/09/03 00:00:00,"1101368401","1100011066"
2023/09/03 00:00:00,"1101365800","1100007378"
2023/09/03 00:00:00,"1101366768","1100013818"
2023/09/03 00:00:00,"1101366826","1100003759"
2023/09/03 00:00:00,"1101366886","1100009653"
2023/09/03 00:00:00,"1101368110","1100008714"
2023/09/03 00:00:00,"1101366053","1100006928"
2023/09/03 00:00:00,"1101366611","1100010942"
2023/09/03 00:00:00,"1101366515","1100007696"
2023/09/03 00:00:00,"1101368236","1100008546"
2023/09/03 00:00:00,"1101367983","1100009882"
2023/09/03 00:00:00,"1101368082","1100007636"
2023/09/03 00:00:00,"1101365857","1100007946"
2023/09/03 00:00:00,"1101365858","1100005107"
2023/09/03 00:00:00,"1101365801","1100012011"
2023/09/03 00:00:00,"1101368010","1100007677"
2023/09/03 00:00:00,"1101365771","1100008356"
2023/09/03 00:00:00,"1101366769","1100014014"
2023/09/03 00:00:00,"1101366054","1100008931"
2023/09/03 00:00:00,"1101366602","1100008349"
2023/09/03 00:00:00,"1101368126","1100007768"
2023/09/03 00:00:00,"1101367959","1100008816"
2023/09/03 00:00:00,"1101366841","1100008349"
2023/09/03 00:00:00,"1101368154","1100013925"
2023/09/03 00:00:00,"1101365896","1100006311"
2023/09/03 00:00:00,"1101366885","1100010879"
2023/09/03 00:00:00,"1101366842","1100010852"
2023/09/03 00:00:00,"1101368521","1100011910"
2023/09/03 00:00:00,"1101366659","1100011978"
2023/09/03 00:00:00,"1101368199","1100007879"
2023/09/03 00:00:00,"1101366746","1100007102"
2023/09/03 00:00:00,"1101368200","1100007769"
2023/09/03 00:00:00,"1101365881","1100009458"
2023/09/03 00:00:00,"1101366951","1100011960"
2023/09/03 00:00:00,"1101367260","1100007004"
2023/09/03 00:00:00,"1101367716","1100013062"
2023/09/03 00:00:00,"1101366903","1100005237"
2023/09/03 00:00:00,"1101366076","1100010870"
2023/09/03 00:00:00,"1101368001","1100008052"
2023/09/03 00:00:00,"1101368482","1100008735"
2023/09/03 00:00:00,"1101366701","1100008878"
2023/09/03 00:00:00,"1101367940","1100011609"
2023/09/03 00:00:00,"1101368041","1100010991"
2023/09/03 00:00:00,"1101367044","1100008305"
2023/09/03 00:00:00,"1101368030","1100013810"
2023/09/03 00:00:00,"1101366952","1100008660"
2023/09/03 00:00:00,"1101368330","1100014310"
2023/09/03 00:00:00,"1101367717","1100011138"
2023/09/03 00:00:00,"1101366724","1100007102"
2023/09/03 00:00:00,"1101366527","1100013509"
2023/09/03 00:00:00,"1101366722","1100013724"
2023/09/03 00:00:00,"1101366648","1100007127"
2023/09/03 00:00:00,"1101366078","1100013985"
2023/09/03 00:00:00,"1101368377","1100008293"
2023/09/03 00:00:00,"1101366700","1100004639"
2023/09/03 00:00:00,"1101368201","1100012055"
2023/09/03 00:00:00,"1101368292","1100010910"
2023/09/03 00:00:00,"1101365923","1100007529"
2023/09/03 00:00:00,"1101368152","1100014062"
2023/09/03 00:00:00,"1101366827","1100010879"
2023/09/03 00:00:00,"1101366612","1100011256"
2023/09/03 00:00:00,"1101365945","1100013634"
2023/09/03 00:00:00,"1101366634","1100007776"
2023/09/03 00:00:00,"1101367045","1100006277"
2023/09/03 00:00:00,"1101366815","1100006412"
2023/09/03 00:00:00,"1101366799","1100007711"
2023/09/03 00:00:00,"1101366770","1100013724"
2023/09/03 00:00:00,"1101366702","1100013890"
2023/09/03 00:00:00,"1101366800","1100013929"
2023/09/03 00:00:00,"1101365992","1100007529"
2023/09/03 00:00:00,"1101368257","1100003060"
2023/09/03 00:00:00,"1101365944","1100006193"
2023/09/03 00:00:00,"1101368178","1100009771"
2023/09/03 00:00:00,"1101368256","1100008884"
2023/09/03 00:00:00,"1101366723","1100005237"
2023/09/03 00:00:00,"1101368053","1100006844"
2023/09/03 00:00:00,"1101368031","1100008933"
2023/09/03 00:00:00,"1101368000","1100008171"
2023/09/03 00:00:00,"1101368215","1100012436"
2023/09/03 00:00:00,"1101368011","1100008294"
2023/09/03 00:00:00,"1101368398","1100002945"
2023/09/03 00:00:00,"1101367282","1100007004"
2023/09/03 00:00:00,"1101368235","1100009343"
2023/09/03 00:00:00,"1101368364","1100006354"
2023/09/03 00:00:00,"1101368056","1100006434"
2023/09/03 00:00:00,"1101366893","1100003974"
2023/09/03 00:00:00,"1101366919","1100004604"
